city,freebase_id,iata_code,country
Q1005409,/m/02pkyp_,,Poland
Q1010699,/m/0tnqn,,United States
Q1017105,/m/0v5m7,,United States
Q104125,/m/05yppk,,Philippines
Q1423846,/m/06hnx3,,Philippines
Q1623,/m/02gps2,,Philippines
Q1636,/m/02cmnr,,Philippines
Q170243,/m/0fgvvy,,Germany
Q17182,/m/016td1,,Philippines
Q1822,/m/015l1_,,Philippines
Q187352,/m/01j1b1,,Greece
Q189901,/m/0j5zv,,Greece
Q200133,/m/016_r5,,Greece
Q202337,/m/03v4mr,,Greece
Q207998,/m/0bj7dp,,Turkey
Q208566,/m/020c5x,,Greece
Q216307,/m/03s82t,,Greece
Q217216,/m/017wxt,,Belgium
Q2193,/m/01sn4r,,Philippines
Q2207,/m/06pn4_,,Philippines
Q226941,/m/01487h,,Belgium
Q235004,/m/03k422,,Philippines
Q248062,/m/0f8nlk,,Germany
Q252466,/m/0dq23k,,Germany
Q252772,/m/03gw1j,,Germany
Q255698,/m/0npz,,Germany
Q259795,/m/0fcyrf,,Germany
Q2609530,/m/0c6yxn,,Argentina
Q269010,/m/09xvd5,,Germany
Q2766547,/m/0d9tj,,Netherlands
Q309442,/m/06xk72,,Uruguay
Q391221,/m/0596ss,,Venezuela
Q428829,/m/0ct24,,United Kingdom
Q4850064,/m/060y77,,Ecuador
Q4853169,/m/060pgk,,Ecuador
Q490521,/m/07wnj6,,Germany
Q49231,/m/0fwc0,,United States
Q494305,/m/04t83z,,Germany
Q4982377,/m/060l7v,,Ecuador
Q50179,/m/051rv9,,Philippines
Q503693,/m/0fgt64,,Germany
Q503763,/m/0fgdfh,,Germany
Q504521,/m/0ffvwl,,Germany
Q504648,/m/07r1t7,,Germany
Q5144832,/m/060_rr,,Ecuador
Q518663,/m/06k765,,Germany
Q5217,/m/01rmws,,Philippines
Q529176,/m/0fgbdh,,Germany
Q5352286,/m/060prj,,Ecuador
Q5485281,/m/05p8j_d,,Roman Empire
Q56365471,/m/02_g9r,,Poland
Q56663,/m/06nbmz,,Philippines
Q573230,/m/0f8jlj,,Germany
Q59799,/m/06nrz3,,Philippines
